Purchase_Order_Description,Manufacturer,Part_Number,Vendor_Description
2 by 2 by 3/4 inch copper tee,OTHER MANUFACTURERS,CTKKF,2X2X3/4 WROT CXCXC TEE
2 inch lf union,IMPORT MANUFACTURERS,IBRLF125UK,LF 2 BRS 125# UNION
3/4 inch copper adators,OTHER MANUFACTURERS,CMAF,3/4 WROT CXM ADPT
3/4  inch ball valves,NIBCO,NT58580LFHCF,LF 3/4 BRZ BV 2PC FP
2 inch ball valves,MILWAUKEE VALVE,MUPBA400K,LF 2 BRZ CP 600# THRD FP BV
2 inch brass plug,IMPORT MANUFACTURERS,IBRLFCPLUGK,LF 2 BRS SQ HD CORED PLUG
2 inch copper adator,OTHER MANUFACTURERS,CMAK,2 WROT CXM ADPT
6 inch backwater valve Clean Check,RECTORSEAL CORP THE,REC97026,6IN PVC CLEAN CHECK - LESS
4 inch backwater valve Clean Check,RECTORSEAL CORP THE,REC97034,4IN PVC CLEAN CHECK W/ ADAPTER
"3 inch plain end inlet/outlet Striem 35 GPM Polyethylene oil/sand seprator, all the above per the approved submittals",SCHIER PRODUCTS,STRIEMOS35OIL/WATER,SP*015293
4 inch Floor sinks per approved submittals JRS 3150Y-10,JR SMITH,JRS3150Y0410,SP*00036880
 4 inch FCO's per approved submittal JRS 4240S-NB,JR SMITH,JRS4240S04NB,SP*00036881
"ETP-1 per approved submittals, PTS-6",SPECIFICATION SALES INC,PPPPTS6W/5/8INCONNECTIONS,SP*010122
AD-1(which was tagged as a catch basin in the approved submittals) 4 inch JRS 2624Y04-CIHP,JR SMITH,JRS2624Y04CIHP,SP*00036883
4 inch floor drain FD-2,JR SMITH,JRS2350Y04P050,SP*029264
3 inch floor drain FD-1,JR SMITH,JRS2005Y03B06NBP050,SP*027735
3 inch floor drians FD-2,JR SMITH,JRS2350Y03P050,SP*00036908
4 inch floor sinks FS-1,JR SMITH,JRS3150Y0412,SP*013975
"4 inch floor sink FS-1, was 2 inch",JR SMITH,JRS3150Y0212,SP*00036909
"4 inch floor sink FS-1, was 2 inch",JR SMITH,JRS3150Y0412,SP*013975
4 inch FCO-3,JR SMITH,JRS4040S04NBDX,SP*00036911
"2"" NHCI Pipe",AB&I FOUNDRY,***640FT/LIFT***AB&I00158,2X10 NO HUB PIPE
"3"" NHCI Pipe",AB&I FOUNDRY,***480FT/LIFT***AB&I00160,3X10 NO HUB PIPE
"4"" NHCI Pipe",AB&I FOUNDRY,***300FT/LIFT***AB&I00162,4X10 NO HUB PIPE
"10"" NHCI Pipe",AB&I FOUNDRY,***80FT/LIFT***AB&I00172,10X10 NO HUB PIPE
"12"" NHCI Pipe",AB&I FOUNDRY,***60FT/LIFT***AB&I00182,12X10 NO HUB PIPE
"2"" Type K CU Tube",CAMBRIDGELEE INDUSTRIES,MUELKH20020CAMB,2X20 K HARD COPPER
"2"" NHCI 1/8 Bend",AB&I FOUNDRY,AB&I00606,2 NO HUB 45
"3"" NHCI 1/8 Bend",AB&I FOUNDRY,AB&I00608,3 NO HUB 45
"4"" NHCI 1/8 Bend",AB&I FOUNDRY,AB&I00610,4 NO HUB 45
"6"" NHCI 1/8 Bend",AB&I FOUNDRY,AB&I00614,6 NO HUB 45
"8"" NHCI 1/8 Bend",AB&I FOUNDRY,AB&I00616,8 NO HUB 45
"12"" NHCI 1/8 Bend",AB&I FOUNDRY,AB&I00622,12 NO HUB 45
"3"" NHCI 1/4 Bend",AB&I FOUNDRY,NHREG1/4BENDAB&I00192,3 NO HUB 90
"4"" NHCI 1/4 Bend",AB&I FOUNDRY,NHREG1/4BENDAB&I00194,4 NO HUB 90
"6"" NHCI 1/4 Bend",AB&I FOUNDRY,NHREG1/4BENDAB&I00198,6 NO HUB 90
"8"" NHCI 1/4 Bend",AB&I FOUNDRY,NHREG1/4BENDAB&I00200,8 NO HUB 90
"2"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00462,2 NO HUB SHORT SWEEP CODE
"3"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00464,3 NO HUB SHORT SWEEP CODE
"4"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00468,4 NO HUB SHORT SWEEP CODE
"6"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00472,6 NO HUB SHORT SWEEP CODE
"8"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00474,8 NO HUB SHORT SWEEP CODE
"10"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00476,10 NO HUB SHORT SWEEP CODE
"12"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,NHCODE1/4BENDAB&I00482,12 NO HUB SHORT SWEEP CODE
"3"" NHCI 1/16 Bend",AB&I FOUNDRY,AB&I00680,3 NO HUB 22
"4"" NHCI 1/16 Bend",AB&I FOUNDRY,AB&I00682,4 NO HUB 22
"6"" NHCI 1/16 Bend",AB&I FOUNDRY,AB&I00686,6 NO HUB 22
"4"" NHCI IAPMO Fig. 5",AB&I FOUNDRY,AB&I08062,4 NO HUB FIGURE 5
"2"" NHCI Combo",AB&I FOUNDRY,AB&I01698,2 NO HUB COMBO
"3"" NHCI Combo",AB&I FOUNDRY,AB&I01702,3 NO HUB COMBO
"3""x2"" NHCI Combo",AB&I FOUNDRY,AB&I01700,3X2 NO HUB COMBO
"4"" NHCI Combo",AB&I FOUNDRY,AB&I01708,4 NO HUB COMBO
"4""x2"" NHCI Combo",AB&I FOUNDRY,AB&I01704,4X2 NO HUB COMBO
"4""x3"" NHCI Combo",AB&I FOUNDRY,AB&I01706,4X3 NO HUB COMBO
"6"" NHCI Combo",AB&I FOUNDRY,AB&I01726,6 NO HUB COMBO
"6""x2"" NHCI Combo",AB&I FOUNDRY,AB&I01718,6X2 NO HUB COMBO
"6""x3"" NHCI Combo",AB&I FOUNDRY,AB&I01720,6X3 NO HUB COMBO
"6""x4"" NHCI Combo",AB&I FOUNDRY,AB&I01722,6X4 NO HUB COMBO
"8"" NHCI Combo",AB&I FOUNDRY,AB&I01734,8 NO HUB COMBO
"6"" ProFlex 3000 Coupling",FERNCO INC,FERN300066,"6"" NHXPLASTIC/STEEL SHIELDED"
"2"" Husky HD2000 Coupling",ANACO,ANACO2006(75/BOX),2 HD2000 OT HD NH CPLG
"3"" Husky HD2000 Coupling",ANACO,ANACO2008(48/BOX),3 HD2000 OT HD NH CPLG
"4"" Husky HD2000 Coupling",ANACO,ANACO2010(48/BOX),4 HD2000 OT HD NH CPLG
"6"" Husky HD2000 Coupling",ANACO,ANACO2014(15/BOX),6 HD2000 OT HD NH CPLG
"8"" Husky HD2000 Coupling",ANACO,ANACO2016(15/BOX),8 HD2000 OT HD NH CPLG
"10"" Husky HD2000 Coupling",ANACO,ANACO2017(12/BOX),10 HD2000 OT HD NH CPLG
"12"" Husky SD4000 Coupling",ANACO,ANACO4018(2/BOX),12 SD4000 ORNG HD NH CPLG
"2"" CU Sweat 90",ELKHART PRODUCTS CORP,EPC10031322MUELW02086,2 CXC 90
"6"" CU Sweat 90",ELKHART PRODUCTS CORP,EPC10031368(1/BX)(1/CASE),6 CXC 90 EL
"4"" NHCI P-Trap",AB&I FOUNDRY,AB&I00838,6X3 NO HUB SAN TEE
"4"" NHCI P-Trap",AB&I FOUNDRY,AB&I02512,4 NO HUB P-TRAP
